Month,Frequency,,,,,,,,,,
1959-01,315.42,,,,,,,,,,
1959-02,316.31,,,,,,,,,,
1959-03,316.50,,,,,,,,,,
1959-04,317.56,,,,,,,,,,
1959-05,318.13,,,,,,,,,,
1959-06,318.00,,,,,,,,,,
1959-07,316.39,,,,,,,,,,
1959-08,314.65,,,,,,,,,,
1959-09,313.68,,,,,,,,,,
1959-10,313.18,,,,,,,,,,
1959-11,314.66,,,,,,,,,,
1959-12,315.43,,,,,,,,,,
1960-01,316.27,,,,,,,,,,
1960-02,316.81,,,,,,,,,,
1960-03,317.42,,,,,,,,,,
1960-04,318.87,,,,,,,,,,
1960-05,319.87,,,,,,,,,,
1960-06,319.43,,,,,,,,,,
1960-07,318.01,,,,,,,,,,
1960-08,315.74,,,,,,,,,,
1960-09,314.00,,,,,,,,,,
1960-10,313.68,,,,,,,,,,
1960-11,314.84,,,,,,,,,,
1960-12,316.03,,,,,,,,,,
1961-01,316.73,,,,,,,,,,
1961-02,317.54,,,,,,,,,,
1961-03,318.38,,,,,,,,,,
1961-04,319.31,,,,,,,,,,
1961-05,320.42,,,,,,,,,,
1961-06,319.61,,,,,,,,,,
1961-07,318.42,,,,,,,,,,
1961-08,316.63,,,,,,,,,,
1961-09,314.83,,,,,,,,,,
1961-10,315.16,,,,,,,,,,
1961-11,315.94,,,,,,,,,,
1961-12,316.85,,,,,,,,,,
1962-01,317.78,,,,,,,,,,
1962-02,318.40,,,,,,,,,,
1962-03,319.53,,,,,,,,,,
1962-04,320.42,,,,,,,,,,
1962-05,320.85,,,,,,,,,,
1962-06,320.45,,,,,,,,,,
1962-07,319.45,,,,,,,,,,
1962-08,317.25,,,,,,,,,,
1962-09,316.11,,,,,,,,,,
1962-10,315.27,,,,,,,,,,
1962-11,316.53,,,,,,,,,,
1962-12,317.53,,,,,,,,,,
1963-01,318.58,,,,,,,,,,
1963-02,318.92,,,,,,,,,,
1963-03,319.70,,,,,,,,,,
1963-04,321.22,,,,,,,,,,
1963-05,322.08,,,,,,,,,,
1963-06,321.31,,,,,,,,,,
1963-07,319.58,,,,,,,,,,
1963-08,317.61,,,,,,,,,,
1963-09,316.05,,,,,,,,,,
1963-10,315.83,,,,,,,,,,
1963-11,316.91,,,,,,,,,,
1963-12,318.20,,,,,,,,,,
1964-01,319.41,,,,,,,,,,
1964-02,320.07,,,,,,,,,,
1964-03,320.74,,,,,,,,,,
1964-04,321.40,,,,,,,,,,
1964-05,322.06,,,,,,,,,,
1964-06,321.73,,,,,,,,,,
1964-07,320.27,,,,,,,,,,
1964-08,318.54,,,,,,,,,,
1964-09,316.54,,,,,,,,,,
1964-10,316.71,,,,,,,,,,
1964-11,317.53,,,,,,,,,,
1964-12,318.55,,,,,,,,,,
1965-01,319.27,,,,,,,,,,
1965-02,320.28,,,,,,,,,,
1965-03,320.73,,,,,,,,,,
1965-04,321.97,,,,,,,,,,
1965-05,322.00,,,,,,,,,,
1965-06,321.71,,,,,,,,,,
1965-07,321.05,,,,,,,,,,
1965-08,318.71,,,,,,,,,,
1965-09,317.66,,,,,,,,,,
1965-10,317.14,,,,,,,,,,
1965-11,318.70,,,,,,,,,,
1965-12,319.25,,,,,,,,,,
1966-01,320.46,,,,,,,,,,
1966-02,321.43,,,,,,,,,,
1966-03,322.23,,,,,,,,,,
1966-04,323.54,,,,,,,,,,
1966-05,323.91,,,,,,,,,,
1966-06,323.59,,,,,,,,,,
1966-07,322.24,,,,,,,,,,
1966-08,320.20,,,,,,,,,,
1966-09,318.48,,,,,,,,,,
1966-10,317.94,,,,,,,,,,
1966-11,319.63,,,,,,,,,,
1966-12,320.87,,,,,,,,,,
1967-01,322.17,,,,,,,,,,
1967-02,322.34,,,,,,,,,,
1967-03,322.88,,,,,,,,,,
1967-04,324.25,,,,,,,,,,
1967-05,324.83,,,,,,,,,,
1967-06,323.93,,,,,,,,,,
1967-07,322.38,,,,,,,,,,
1967-08,320.76,,,,,,,,,,
1967-09,319.10,,,,,,,,,,
1967-10,319.24,,,,,,,,,,
1967-11,320.56,,,,,,,,,,
1967-12,321.80,,,,,,,,,,
1968-01,322.40,,,,,,,,,,
1968-02,322.99,,,,,,,,,,
1968-03,323.73,,,,,,,,,,
1968-04,324.86,,,,,,,,,,
1968-05,325.40,,,,,,,,,,
1968-06,325.20,,,,,,,,,,
1968-07,323.98,,,,,,,,,,
1968-08,321.95,,,,,,,,,,
1968-09,320.18,,,,,,,,,,
1968-10,320.09,,,,,,,,,,
1968-11,321.16,,,,,,,,,,
1968-12,322.74,,,,,,,,,,
1969-01,323.83,,,,,,,,,,
1969-02,324.26,,,,,,,,,,
1969-03,325.47,,,,,,,,,,
1969-04,326.50,,,,,,,,,,
1969-05,327.21,,,,,,,,,,
1969-06,326.54,,,,,,,,,,
1969-07,325.72,,,,,,,,,,
1969-08,323.50,,,,,,,,,,
1969-09,322.22,,,,,,,,,,
1969-10,321.62,,,,,,,,,,
1969-11,322.69,,,,,,,,,,
1969-12,323.95,,,,,,,,,,
1970-01,324.89,,,,,,,,,,
1970-02,325.82,,,,,,,,,,
1970-03,326.77,,,,,,,,,,
1970-04,327.97,,,,,,,,,,
1970-05,327.91,,,,,,,,,,
1970-06,327.50,,,,,,,,,,
1970-07,326.18,,,,,,,,,,
1970-08,324.53,,,,,,,,,,
1970-09,322.93,,,,,,,,,,
1970-10,322.90,,,,,,,,,,
1970-11,323.85,,,,,,,,,,
1970-12,324.96,,,,,,,,,,
1971-01,326.01,,,,,,,,,,
1971-02,326.51,,,,,,,,,,
1971-03,327.01,,,,,,,,,,
1971-04,327.62,,,,,,,,,,
1971-05,328.76,,,,,,,,,,
1971-06,328.40,,,,,,,,,,
1971-07,327.20,,,,,,,,,,
1971-08,325.27,,,,,,,,,,
1971-09,323.20,,,,,,,,,,
1971-10,323.40,,,,,,,,,,
1971-11,324.63,,,,,,,,,,
1971-12,325.85,,,,,,,,,,
1972-01,326.60,,,,,,,,,,
1972-02,327.47,,,,,,,,,,
1972-03,327.58,,,,,,,,,,
1972-04,329.56,,,,,,,,,,
1972-05,329.90,,,,,,,,,,
1972-06,328.92,,,,,,,,,,
1972-07,327.88,,,,,,,,,,
1972-08,326.16,,,,,,,,,,
1972-09,324.68,,,,,,,,,,
1972-10,325.04,,,,,,,,,,
1972-11,326.34,,,,,,,,,,
1972-12,327.39,,,,,,,,,,
1973-01,328.37,,,,,,,,,,
1973-02,329.40,,,,,,,,,,
1973-03,330.14,,,,,,,,,,
1973-04,331.33,,,,,,,,,,
1973-05,332.31,,,,,,,,,,
1973-06,331.90,,,,,,,,,,
1973-07,330.70,,,,,,,,,,
1973-08,329.15,,,,,,,,,,
1973-09,327.35,,,,,,,,,,
1973-10,327.02,,,,,,,,,,
1973-11,327.99,,,,,,,,,,
1973-12,328.48,,,,,,,,,,
1974-01,329.18,,,,,,,,,,
1974-02,330.55,,,,,,,,,,
1974-03,331.32,,,,,,,,,,
1974-04,332.48,,,,,,,,,,
1974-05,332.92,,,,,,,,,,
1974-06,332.08,,,,,,,,,,
1974-07,331.01,,,,,,,,,,
1974-08,329.23,,,,,,,,,,
1974-09,327.27,,,,,,,,,,
1974-10,327.21,,,,,,,,,,
1974-11,328.29,,,,,,,,,,
1974-12,329.41,,,,,,,,,,
1975-01,330.23,,,,,,,,,,
1975-02,331.25,,,,,,,,,,
1975-03,331.87,,,,,,,,,,
1975-04,333.14,,,,,,,,,,
1975-05,333.80,,,,,,,,,,
1975-06,333.43,,,,,,,,,,
1975-07,331.73,,,,,,,,,,
1975-08,329.90,,,,,,,,,,
1975-09,328.40,,,,,,,,,,
1975-10,328.17,,,,,,,,,,
1975-11,329.32,,,,,,,,,,
1975-12,330.59,,,,,,,,,,
1976-01,331.58,,,,,,,,,,
1976-02,332.39,,,,,,,,,,
1976-03,333.33,,,,,,,,,,
1976-04,334.41,,,,,,,,,,
1976-05,334.71,,,,,,,,,,
1976-06,334.17,,,,,,,,,,
1976-07,332.89,,,,,,,,,,
1976-08,330.77,,,,,,,,,,
1976-09,329.14,,,,,,,,,,
1976-10,328.78,,,,,,,,,,
1976-11,330.14,,,,,,,,,,
1976-12,331.52,,,,,,,,,,
1977-01,332.75,,,,,,,,,,
1977-02,333.24,,,,,,,,,,
1977-03,334.53,,,,,,,,,,
1977-04,335.90,,,,,,,,,,
1977-05,336.57,,,,,,,,,,
1977-06,336.10,,,,,,,,,,
1977-07,334.76,,,,,,,,,,
1977-08,332.59,,,,,,,,,,
1977-09,331.42,,,,,,,,,,
1977-10,330.98,,,,,,,,,,
1977-11,332.24,,,,,,,,,,
1977-12,333.68,,,,,,,,,,
1978-01,334.80,,,,,,,,,,
1978-02,335.22,,,,,,,,,,
1978-03,336.47,,,,,,,,,,
1978-04,337.59,,,,,,,,,,
1978-05,337.84,,,,,,,,,,
1978-06,337.72,,,,,,,,,,
1978-07,336.37,,,,,,,,,,
1978-08,334.51,,,,,,,,,,
1978-09,332.60,,,,,,,,,,
1978-10,332.38,,,,,,,,,,
1978-11,333.75,,,,,,,,,,
1978-12,334.78,,,,,,,,,,
1979-01,336.05,,,,,,,,,,
1979-02,336.59,,,,,,,,,,
1979-03,337.79,,,,,,,,,,
1979-04,338.71,,,,,,,,,,
1979-05,339.30,,,,,,,,,,
1979-06,339.12,,,,,,,,,,
1979-07,337.56,,,,,,,,,,
1979-08,335.92,,,,,,,,,,
1979-09,333.75,,,,,,,,,,
1979-10,333.70,,,,,,,,,,
1979-11,335.12,,,,,,,,,,
1979-12,336.56,,,,,,,,,,
1980-01,337.84,,,,,,,,,,
1980-02,338.19,,,,,,,,,,
1980-03,339.91,,,,,,,,,,
1980-04,340.60,,,,,,,,,,
1980-05,341.29,,,,,,,,,,
1980-06,341.00,,,,,,,,,,
1980-07,339.39,,,,,,,,,,
1980-08,337.43,,,,,,,,,,
1980-09,335.72,,,,,,,,,,
1980-10,335.84,,,,,,,,,,
1980-11,336.93,,,,,,,,,,
1980-12,338.04,,,,,,,,,,
1981-01,339.06,,,,,,,,,,
1981-02,340.30,,,,,,,,,,
1981-03,341.21,,,,,,,,,,
1981-04,342.33,,,,,,,,,,
1981-05,342.74,,,,,,,,,,
1981-06,342.08,,,,,,,,,,
1981-07,340.32,,,,,,,,,,
1981-08,338.26,,,,,,,,,,
1981-09,336.52,,,,,,,,,,
1981-10,336.68,,,,,,,,,,
1981-11,338.19,,,,,,,,,,
1981-12,339.44,,,,,,,,,,
1982-01,340.57,,,,,,,,,,
1982-02,341.44,,,,,,,,,,
1982-03,342.53,,,,,,,,,,
1982-04,343.39,,,,,,,,,,
1982-05,343.96,,,,,,,,,,
1982-06,343.18,,,,,,,,,,
1982-07,341.88,,,,,,,,,,
1982-08,339.65,,,,,,,,,,
1982-09,337.81,,,,,,,,,,
1982-10,337.69,,,,,,,,,,
1982-11,339.09,,,,,,,,,,
1982-12,340.32,,,,,,,,,,
1983-01,341.20,,,,,,,,,,
1983-02,342.35,,,,,,,,,,
1983-03,342.93,,,,,,,,,,
1983-04,344.77,,,,,,,,,,
1983-05,345.58,,,,,,,,,,
1983-06,345.14,,,,,,,,,,
1983-07,343.81,,,,,,,,,,
1983-08,342.21,,,,,,,,,,
1983-09,339.69,,,,,,,,,,
1983-10,339.82,,,,,,,,,,
1983-11,340.98,,,,,,,,,,
1983-12,342.82,,,,,,,,,,
1984-01,343.52,,,,,,,,,,
1984-02,344.33,,,,,,,,,,
1984-03,345.11,,,,,,,,,,
1984-04,346.88,,,,,,,,,,
1984-05,347.25,,,,,,,,,,
1984-06,346.62,,,,,,,,,,
1984-07,345.22,,,,,,,,,,
1984-08,343.11,,,,,,,,,,
1984-09,340.90,,,,,,,,,,
1984-10,341.18,,,,,,,,,,
1984-11,342.80,,,,,,,,,,
1984-12,344.04,,,,,,,,,,
1985-01,344.79,,,,,,,,,,
1985-02,345.82,,,,,,,,,,
1985-03,347.25,,,,,,,,,,
1985-04,348.17,,,,,,,,,,
1985-05,348.74,,,,,,,,,,
1985-06,348.07,,,,,,,,,,
1985-07,346.38,,,,,,,,,,
1985-08,344.51,,,,,,,,,,
1985-09,342.92,,,,,,,,,,
1985-10,342.62,,,,,,,,,,
1985-11,344.06,,,,,,,,,,
1985-12,345.38,,,,,,,,,,
1986-01,346.11,,,,,,,,,,
1986-02,346.78,,,,,,,,,,
1986-03,347.68,,,,,,,,,,
1986-04,349.37,,,,,,,,,,
1986-05,350.03,,,,,,,,,,
1986-06,349.37,,,,,,,,,,
1986-07,347.76,,,,,,,,,,
1986-08,345.73,,,,,,,,,,
1986-09,344.68,,,,,,,,,,
1986-10,343.99,,,,,,,,,,
1986-11,345.48,,,,,,,,,,
1986-12,346.72,,,,,,,,,,
1987-01,347.84,,,,,,,,,,
1987-02,348.29,,,,,,,,,,
1987-03,349.23,,,,,,,,,,
1987-04,350.80,,,,,,,,,,
1987-05,351.66,,,,,,,,,,
1987-06,351.07,,,,,,,,,,
1987-07,349.33,,,,,,,,,,
1987-08,347.92,,,,,,,,,,
1987-09,346.27,,,,,,,,,,
1987-10,346.18,,,,,,,,,,
1987-11,347.64,,,,,,,,,,
1987-12,348.78,,,,,,,,,,
1988-01,350.25,,,,,,,,,,
1988-02,351.54,,,,,,,,,,
1988-03,352.05,,,,,,,,,,
1988-04,353.41,,,,,,,,,,
1988-05,354.04,,,,,,,,,,
1988-06,353.62,,,,,,,,,,
1988-07,352.22,,,,,,,,,,
1988-08,350.27,,,,,,,,,,
1988-09,348.55,,,,,,,,,,
1988-10,348.72,,,,,,,,,,
1988-11,349.91,,,,,,,,,,
1988-12,351.18,,,,,,,,,,
1989-01,352.60,,,,,,,,,,
1989-02,352.92,,,,,,,,,,
1989-03,353.53,,,,,,,,,,
1989-04,355.26,,,,,,,,,,
1989-05,355.52,,,,,,,,,,
1989-06,354.97,,,,,,,,,,
1989-07,353.75,,,,,,,,,,
1989-08,351.52,,,,,,,,,,
1989-09,349.64,,,,,,,,,,
1989-10,349.83,,,,,,,,,,
1989-11,351.14,,,,,,,,,,
1989-12,352.37,,,,,,,,,,
1990-01,353.50,,,,,,,,,,
1990-02,354.55,,,,,,,,,,
1990-03,355.23,,,,,,,,,,
1990-04,356.04,,,,,,,,,,
1990-05,357.00,,,,,,,,,,
1990-06,356.07,,,,,,,,,,
1990-07,354.67,,,,,,,,,,
1990-08,352.76,,,,,,,,,,
1990-09,350.82,,,,,,,,,,
1990-10,351.04,,,,,,,,,,
1990-11,352.69,,,,,,,,,,
1990-12,354.07,,,,,,,,,,
1991-01,354.59,,,,,,,,,,
1991-02,355.63,,,,,,,,,,
1991-03,357.03,,,,,,,,,,
1991-04,358.48,,,,,,,,,,
1991-05,359.22,,,,,,,,,,
1991-06,358.12,,,,,,,,,,
1991-07,356.06,,,,,,,,,,
1991-08,353.92,,,,,,,,,,
1991-09,352.05,,,,,,,,,,
1991-10,352.11,,,,,,,,,,
1991-11,353.64,,,,,,,,,,
1991-12,354.89,,,,,,,,,,
1992-01,355.88,,,,,,,,,,
1992-02,356.63,,,,,,,,,,
1992-03,357.72,,,,,,,,,,
1992-04,359.07,,,,,,,,,,
1992-05,359.58,,,,,,,,,,
1992-06,359.17,,,,,,,,,,
1992-07,356.94,,,,,,,,,,
1992-08,354.92,,,,,,,,,,
1992-09,352.94,,,,,,,,,,
1992-10,353.23,,,,,,,,,,
1992-11,354.09,,,,,,,,,,
1992-12,355.33,,,,,,,,,,
1993-01,356.63,,,,,,,,,,
1993-02,357.10,,,,,,,,,,
1993-03,358.32,,,,,,,,,,
1993-04,359.41,,,,,,,,,,
1993-05,360.23,,,,,,,,,,
1993-06,359.55,,,,,,,,,,
1993-07,357.53,,,,,,,,,,
1993-08,355.48,,,,,,,,,,
1993-09,353.67,,,,,,,,,,
1993-10,353.95,,,,,,,,,,
1993-11,355.30,,,,,,,,,,
1993-12,356.78,,,,,,,,,,
1994-01,358.34,,,,,,,,,,
1994-02,358.89,,,,,,,,,,
1994-03,359.95,,,,,,,,,,
1994-04,361.25,,,,,,,,,,
1994-05,361.67,,,,,,,,,,
1994-06,360.94,,,,,,,,,,
1994-07,359.55,,,,,,,,,,
1994-08,357.49,,,,,,,,,,
1994-09,355.84,,,,,,,,,,
1994-10,356.00,,,,,,,,,,
1994-11,357.59,,,,,,,,,,
1994-12,359.05,,,,,,,,,,
1995-01,359.98,,,,,,,,,,
1995-02,361.03,,,,,,,,,,
1995-03,361.66,,,,,,,,,,
1995-04,363.48,,,,,,,,,,
1995-05,363.82,,,,,,,,,,
1995-06,363.30,,,,,,,,,,
1995-07,361.94,,,,,,,,,,
1995-08,359.50,,,,,,,,,,
1995-09,358.11,,,,,,,,,,
1995-10,357.80,,,,,,,,,,
1995-11,359.61,,,,,,,,,,
1995-12,360.74,,,,,,,,,,
1996-01,362.09,,,,,,,,,,
1996-02,363.29,,,,,,,,,,
1996-03,364.06,,,,,,,,,,
1996-04,364.76,,,,,,,,,,
1996-05,365.45,,,,,,,,,,
1996-06,365.01,,,,,,,,,,
1996-07,363.70,,,,,,,,,,
1996-08,361.54,,,,,,,,,,
1996-09,359.51,,,,,,,,,,
1996-10,359.65,,,,,,,,,,
1996-11,360.80,,,,,,,,,,
1996-12,362.38,,,,,,,,,,
1997-01,363.23,,,,,,,,,,
1997-02,364.06,,,,,,,,,,
1997-03,364.61,,,,,,,,,,
1997-04,366.40,,,,,,,,,,
1997-05,366.84,,,,,,,,,,
1997-06,365.68,,,,,,,,,,
1997-07,364.52,,,,,,,,,,
1997-08,362.57,,,,,,,,,,
1997-09,360.24,,,,,,,,,,
1997-10,360.83,,,,,,,,,,
1997-11,362.49,,,,,,,,,,
1997-12,364.34,,,,,,,,,,
